DPMO  CAPABILITY  Cpk SigLvl			
3.4	99.99966	1.5	6
5.4	99.99946	1.47	5.9
8.5	99.99915	1.43	5.8
13	99.9987	1.4	5.7
21	99.9979	1.37	5.6
32	99.9968	1.33	5.5
48	99.9952	1.3	5.4
72	99.9928	1.27	5.3
108	99.9892	1.23	5.2
159	99.9841	1.2	5.1
233	99.9767	1.17	5
337	99.9663	1.13	4.9
483	99.9517	1.1	4.8
687	99.9313	1.07	4.7
968	99.9032	1.03	4.6
1350	99.865	1	4.5
1866	99.8134	0.97	4.4
2555	99.7445	0.93	4.3
3467	99.6533	0.9	4.2
4661	99.5339	0.87	4.1
6210	99.379	0.83	4
8198	99.1802	0.8	3.9
10724	98.9276	0.77	3.8
13903	98.6097	0.73	3.7
17864	98.2136	0.7	3.6
22750	97.725	0.67	3.5
28716	97.1284	0.63	3.4
35930	96.407	0.6	3.3
44565	95.5435	0.57	3.2
54799	94.5201	0.53	3.1
66807	93.3193	0.5	3
80757	91.9243	0.47	2.9
96801	90.3199	0.43	2.8
115070	88.493	0.4	2.7
135666	86.4334	0.37	2.6
158655	84.1345	0.33	2.5
184060	81.594	0.3	2.4
211855	78.8145	0.27	2.3
241964	75.8036	0.23	2.2
274253	72.5747	0.2	2.1
308538	69.1462	0.17	2
344578	65.5422	0.13	1.9
382089	61.7911	0.1	1.8
420740	57.926	0.07	1.7
460172	53.9828	0.03	1.6
500000	50	0	1.5
